Date,Time,Game ID,Elo,Outcome,Side,Country
1/1/2025,11:59:59 PM,1,196,Loss,Black,USA
1/1/2025,11:59:59 PM,2,196,Draw,White,USA
1/1/2025,11:59:59 PM,3,205,Win,White,Indonesia
1/1/2025,11:59:59 PM,4,205,Draw,Black,Peru
1/1/2025,11:59:59 PM,5,213,Win,White,New Zealand
1/1/2025,11:59:59 PM,6,205,Loss,Black,USA
1/1/2025,11:59:59 PM,7,205,Draw,White,Germany
1/1/2025,11:59:59 PM,8,197,Loss,Black,USA
1/2/2025,11:59:59 PM,9,189,Loss,White,USA
1/2/2025,11:59:59 PM,10,189,Draw,Black,Iraq
1/2/2025,11:59:59 PM,11,181,Loss,Black,USA
1/2/2025,11:59:59 PM,12,189,Win,White,India
1/2/2025,11:59:59 PM,13,197,Win,Black,USA
1/2/2025,11:59:59 PM,14,205,Win,White,USA
1/2/2025,11:59:59 PM,15,205,Draw,White,France
1/2/2025,11:59:59 PM,16,197,Loss,White,Spain
1/2/2025,11:59:59 PM,17,189,Loss,White,USA
1/2/2025,11:59:59 PM,18,197,Win,Black,Poland
1/2/2025,11:59:59 PM,19,189,Loss,Black,India
1/2/2025,11:59:59 PM,20,181,Loss,White,India
1/2/2025,11:59:59 PM,21,189,Win,White,USA
1/2/2025,11:59:59 PM,22,188,Draw,Black,Indonesia
1/3/2025,11:59:59 PM,23,188,Draw,White,USA
1/3/2025,11:59:59 PM,24,188,Draw,Black,United Kingdom
1/3/2025,11:59:59 PM,25,196,Win,White,Isle of Man
1/3/2025,11:59:59 PM,26,188,Loss,White,India
1/3/2025,11:59:59 PM,27,179,Loss,Black,Brazil
1/3/2025,11:59:59 PM,28,179,Draw,Black,Pakistan
1/3/2025,11:59:59 PM,29,178,Draw,White,India
1/3/2025,11:59:59 PM,30,186,Win,Black,India
1/3/2025,11:59:59 PM,31,194,Win,White,Brazil
1/4/2025,11:59:59 PM,32,194,Draw,Black,France
1/4/2025,11:59:59 PM,33,194,Draw,White,Canada
1/4/2025,11:59:59 PM,34,186,Loss,Black,Kazakhstan
1/4/2025,11:59:59 PM,35,179,Loss,White,India
1/4/2025,11:59:59 PM,36,178,Draw,Black,USA
1/4/2025,11:59:59 PM,37,185,Win,White,USA
1/5/2025,11:59:59 PM,38,178,Loss,Black,Greenland
1/5/2025,11:59:59 PM,39,170,Loss,White,India
1/5/2025,11:59:59 PM,40,178,Win,Black,Indonesia
1/5/2025,11:59:59 PM,41,186,Win,White,USA
1/5/2025,11:59:59 PM,42,194,Win,White,India
1/5/2025,11:59:59 PM,43,186,Loss,Black,Vietnam
1/5/2025,11:59:59 PM,44,194,Win,White,USA
1/5/2025,11:59:59 PM,45,202,Win,Black,USA
1/6/2025,11:59:59 PM,46,210,Win,Black,Ecuador
1/7/2025,11:59:59 PM,47,217,Win,White,British Virgin Islands
1/7/2025,11:59:59 PM,48,225,Win,Black,USA
1/7/2025,11:59:59 PM,49,217,Loss,White,India
1/7/2025,11:59:59 PM,50,209,Loss,White,USA
1/7/2025,11:59:59 PM,51,217,Win,Black,Belgium
1/7/2025,11:59:59 PM,52,217,Draw,White,India
1/8/2025,11:59:59 PM,53,225,Win,Black,India
1/8/2025,11:59:59 PM,54,232,Win,White,Mexico
1/8/2025,11:59:59 PM,55,224,Loss,Black,Rwanda
1/9/2025,11:59:59 PM,56,216,Loss,White,Romania
1/9/2025,11:59:59 PM,57,208,Loss,Black,India
1/9/2025,11:59:59 PM,58,208,Draw,White,Brazil
1/9/2025,11:59:59 PM,59,200,Loss,White,Saudi Arabia
1/9/2025,11:59:59 PM,60,200,Draw,Black,South Africa
1/9/2025,11:59:59 PM,61,192,Loss,White,Spain
1/9/2025,11:59:59 PM,62,200,Win,White,Brazil
1/9/2025,11:59:59 PM,63,208,Win,Black,United Kingdom
1/9/2025,11:59:59 PM,64,200,Loss,Black,Canada
1/9/2025,11:59:59 PM,65,208,Win,White,Netherlands
1/9/2025,11:59:59 PM,66,200,Loss,Black,Canada
1/9/2025,11:59:59 PM,67,200,Draw,White,United Kingdom
1/9/2025,11:59:59 PM,68,208,Win,White,Canada
1/9/2025,11:59:59 PM,69,200,Loss,Black,Philippines
1/10/2025,11:59:59 PM,70,193,Loss,Black,USA
1/10/2025,11:59:59 PM,71,201,Win,White,USA
1/11/2025,11:59:59 PM,72,201,Draw,White,USA
1/11/2025,11:59:59 PM,73,194,Loss,Black,Georgia
1/11/2025,11:59:59 PM,74,202,Win,White,International
1/11/2025,11:59:59 PM,75,210,Win,Black,Mexico
1/11/2025,11:59:59 PM,76,218,Win,Black,India
1/12/2025,11:59:59 PM,77,226,Win,White,USA
1/12/2025,11:59:59 PM,78,218,Loss,Black,France
1/12/2025,11:59:59 PM,79,226,Win,White,Brazil
1/12/2025,11:59:59 PM,80,226,Draw,Black,India
1/13/2025,11:59:59 PM,81,218,Loss,White,Mexico
1/13/2025,11:59:59 PM,82,218,Draw,Black,USA
1/13/2025,11:59:59 PM,83,210,Loss,White,Japan
1/13/2025,11:59:59 PM,84,218,Win,Black,Vietnam
1/13/2025,11:59:59 PM,85,210,Loss,White,USA
1/13/2025,11:59:59 PM,86,218,Win,Black,India
1/13/2025,11:59:59 PM,87,226,Win,Black,India
1/14/2025,11:59:59 PM,88,217,Loss,Black,New Zealand
1/14/2025,11:59:59 PM,89,225,Win,White,India
1/14/2025,11:59:59 PM,90,217,Loss,White,India
1/14/2025,11:59:59 PM,91,225,Win,Black,Philippines
1/15/2025,11:59:59 PM,92,233,Win,Black,India
1/15/2025,11:59:59 PM,93,224,Loss,White,India
1/15/2025,11:59:59 PM,94,232,Win,White,Canada
1/15/2025,11:59:59 PM,95,240,Win,Black,Brazil
1/16/2025,11:59:59 PM,96,248,Win,White,USA
1/17/2025,11:59:59 PM,97,248,Draw,White,France
1/17/2025,11:59:59 PM,98,240,Loss,Black,USA
1/17/2025,11:59:59 PM,99,248,Win,Black,Mayanmar
1/17/2025,11:59:59 PM,100,256,Win,White,India
1/17/2025,11:59:59 PM,101,248,Loss,White,USA
1/18/2025,11:59:59 PM,102,240,Loss,Black,Canada
1/18/2025,11:59:59 PM,103,232,Loss,Black,India
1/18/2025,11:59:59 PM,104,240,Win,Black,Philippines
1/18/2025,11:59:59 PM,105,248,Win,White,Hungary
1/18/2025,11:59:59 PM,106,240,Loss,Black,Brazil
1/18/2025,11:59:59 PM,107,232,Loss,White,Italy
1/18/2025,11:59:59 PM,108,231,Draw,White,Poland
1/18/2025,11:59:59 PM,109,239,Win,Black,Italy
1/19/2025,11:59:59 PM,110,232,Loss,White,Estonia
1/19/2025,11:59:59 PM,111,240,Win,Black,India
1/19/2025,11:59:59 PM,112,232,Loss,Black,Thailand
1/19/2025,11:59:59 PM,113,240,Win,White,India
1/19/2025,11:59:59 PM,114,231,Loss,White,USA
1/19/2025,11:59:59 PM,115,239,Win,Black,USA
1/19/2025,11:59:59 PM,116,231,Loss,White,Malaysia
1/19/2025,11:59:59 PM,117,223,Loss,Black,Canada
1/19/2025,11:59:59 PM,118,232,Win,Black,Australia
1/20/2025,11:59:59 PM,119,224,Loss,White,Turkiye
1/20/2025,11:59:59 PM,120,232,Win,Black,India
1/22/2025,11:59:59 PM,121,232,Draw,Black,India
1/24/2025,11:59:59 PM,122,232,Draw,White,Australia
1/24/2025,11:59:59 PM,123,224,Loss,White,Thailand
1/24/2025,11:59:59 PM,124,232,Win,White,Mexico
1/24/2025,11:59:59 PM,125,224,Loss,White,Saudi Arabia
1/24/2025,11:59:59 PM,126,216,Loss,Black,Canada
1/24/2025,11:59:59 PM,127,224,Win,White,Brazil
1/25/2025,11:59:59 PM,128,225,Draw,White,Mexico
1/25/2025,11:59:59 PM,129,233,Win,Black,Egypt
1/25/2025,11:59:59 PM,130,234,Draw,White,USA
1/25/2025,11:59:59 PM,131,242,Win,Black,USA
1/27/2025,11:59:59 PM,132,250,Win,Black,France
1/27/2025,11:59:59 PM,133,242,Loss,White,India
1/27/2025,11:59:59 PM,134,234,Loss,Black,Chile
1/27/2025,11:59:59 PM,135,226,Loss,Black,USA
1/28/2025,11:59:59 PM,136,234,Win,White,India
1/29/2025,11:59:59 PM,137,226,Loss,Black,USA
1/29/2025,11:59:59 PM,138,218,Loss,Black,Argentina
1/30/2025,11:59:59 PM,139,226,Win,White,Egypt
1/31/2025,11:59:59 PM,140,233,Win,Black,Indonesia
1/31/2025,11:59:59 PM,141,225,Loss,White,France
1/31/2025,11:59:59 PM,142,225,Draw,Black,Iran
2/1/2025,11:59:59 PM,143,233,Win,White,Myanmar
2/1/2025,11:59:59 PM,144,241,Win,White,Philippines
2/2/2025,11:59:59 PM,145,241,Draw,White,USA
2/2/2025,11:59:59 PM,146,249,Win,Black,USA
2/3/2025,11:59:59 PM,147,257,Win,White,Gabon
2/4/2025,11:59:59 PM,148,249,Loss,Black,India
2/4/2025,11:59:59 PM,149,257,Win,White,USA
2/4/2025,11:59:59 PM,150,265,Win,Black,India
2/5/2025,11:59:59 PM,151,273,Win,Black,USA
2/6/2025,11:59:59 PM,152,266,Loss,White,India
2/6/2025,11:59:59 PM,153,265,Draw,White,USA
2/6/2025,11:59:59 PM,154,257,Loss,Black,Australia
2/6/2025,11:59:59 PM,155,265,Win,White,India
2/6/2025,11:59:59 PM,156,265,Draw,White,USA
2/6/2025,11:59:59 PM,157,273,Win,Black,USA
2/7/2025,11:59:59 PM,158,265,Loss,Black,Philippines
2/7/2025,11:59:59 PM,159,273,Win,White,India
2/8/2025,11:59:59 PM,160,265,Loss,Black,Australia
2/8/2025,11:59:59 PM,161,273,Win,White,Nepal
2/8/2025,11:59:59 PM,162,281,Win,White,USA
2/8/2025,11:59:59 PM,163,273,Loss,Black,South Korea
2/8/2025,11:59:59 PM,164,281,Win,White,India
2/9/2025,11:59:59 PM,165,289,Rule Violation,None,None
2/9/2025,11:59:59 PM,166,297,Win,Black,India
2/9/2025,11:59:59 PM,167,305,Win,White,Indonesia
2/10/2025,11:59:59 PM,168,297,Loss,Black,Thailand
2/10/2025,11:59:59 PM,169,305,Win,White,Brazil
2/10/2025,11:59:59 PM,170,313,Win,White,India
2/10/2025,11:59:59 PM,171,321,Win,Black,Russia
2/10/2025,11:59:59 PM,172,329,Win,White,USA
2/11/2025,11:59:59 PM,173,337,Win,White,USA
2/11/2025,11:59:59 PM,174,337,Draw,Black,Peru
2/12/2025,11:59:59 PM,175,329,Loss,Black,India
2/12/2025,11:59:59 PM,176,321,Loss,White,Argentina
2/12/2025,11:59:59 PM,177,321,Draw,White,India
2/12/2025,11:59:59 PM,178,313,Loss,Black,Indonesia
2/13/2025,11:59:59 PM,179,313,Draw,White,Denmark
2/14/2025,11:59:59 PM,180,321,Win,Black,USA
2/14/2025,11:59:59 PM,181,313,Loss,Black,India
2/14/2025,11:59:59 PM,182,306,Loss,White,India
2/14/2025,11:59:59 PM,183,298,Loss,Black,USA
2/15/2025,11:59:59 PM,184,306,Win,White,Canada
2/15/2025,11:59:59 PM,185,315,Win,White,USA
2/16/2025,11:59:59 PM,186,307,Loss,Black,India
2/16/2025,11:59:59 PM,187,315,Win,White,Pakistan
2/17/2025,11:59:59 PM,188,307,Loss,White,India
2/18/2025,11:59:59 PM,189,299,Loss,Black,Italy
2/18/2025,11:59:59 PM,190,307,Win,Black,USA
2/18/2025,11:59:59 PM,191,299,Loss,Black,Brazil
2/22/2025,11:59:59 PM,192,307,Win,White,Poland
2/22/2025,11:59:59 PM,193,315,Win,Black,Poland
2/22/2025,11:59:59 PM,194,307,Loss,White,India
2/22/2025,11:59:59 PM,195,307,Draw,White,South Korea
2/22/2025,11:59:59 PM,196,315,Win,Black,USA
2/23/2025,11:59:59 PM,197,307,Loss,Black,France
2/23/2025,11:59:59 PM,198,315,Win,White,Poland
2/23/2025,11:59:59 PM,199,323,Win,Black,United Kingdom
2/23/2025,11:59:59 PM,200,315,Loss,Black,Saudi Arabia
2/28/2025,11:59:59 PM,201,323,Win,White,Canada
2/28/2025,11:59:59 PM,202,332,Win,White,USA
2/28/2025,11:59:59 PM,203,324,Loss,White,Canada
3/7/2025,11:59:59 PM,204,332,Win,Black,Netherlands
3/9/2025,11:59:59 PM,205,324,Loss,Black,USA
3/9/2025,11:59:59 PM,206,324,Draw,White,Canada
3/9/2025,11:59:59 PM,207,332,Win,Black,Canada
3/11/2025,11:59:59 PM,208,324,Loss,White,India
3/11/2025,11:59:59 PM,209,324,Draw,Black,Pakistan
3/11/2025,11:59:59 PM,210,316,Loss,White,Pakistan
3/14/2025,11:59:59 PM,211,308,Loss,Black,USA
3/14/2025,11:59:59 PM,212,300,Loss,White,Poland
3/16/2025,11:59:59 PM,213,307,Win,Black,France
3/16/2025,11:59:59 PM,214,315,Win,Black,Chile
3/16/2025,11:59:59 PM,215,306,Loss,White,Mexico
3/16/2025,11:59:59 PM,216,298,Loss,Black,Mexico
3/19/2025,11:59:59 PM,217,290,Loss,White,France
3/19/2025,11:59:59 PM,218,298,Win,White,USA
3/19/2025,11:59:59 PM,219,290,Loss,White,USA
3/19/2025,11:59:59 PM,219A,290,Draw,Black,India
3/20/2025,11:59:59 PM,220,282,Loss,White,Canada
3/20/2025,11:59:59 PM,221,274,Loss,Black,USA
3/20/2025,11:59:59 PM,222,266,Loss,White,India
3/20/2025,11:59:59 PM,223,258,Loss,Black,United Kingdom
3/20/2025,11:59:59 PM,224,250,Loss,White,Vietnam
3/21/2025,11:59:59 PM,225,242,Loss,Black,Brazil
3/21/2025,11:59:59 PM,226,250,Win,Black,Tunisia
3/26/2025,11:59:59 PM,227,250,Draw,White,Saint Lucia
3/29/2025,11:59:59 PM,228,258,Win,White,France
3/30/2025,11:59:59 PM,229,267,Win,White,United Kingdom
3/30/2025,11:59:59 PM,230,259,Loss,White,France
3/30/2025,11:59:59 PM,231,260,Draw,Black,Indonesia
3/30/2025,11:59:59 PM,232,252,Loss,Black,United Kingdom
3/30/2025,11:59:59 PM,233,260,Win,White,India
4/3/2025,11:59:59 PM,234,252,Loss,Black,Hong Kong
4/3/2025,11:59:59 PM,235,252,Draw,White,Canada
